date,value
1992-01-15,29811
1992-02-15,31217
1992-03-15,35136
1992-04-15,36082
1992-05-15,36460
1992-06-15,38389
1992-07-15,37814
1992-08-15,35436
1992-09-15,35883
1992-10-15,36738
1992-11-15,32360
1992-12-15,33067
1993-01-15,32200
1993-02-15,32787
1993-03-15,39258
1993-04-15,41055
1993-05-15,41390
1993-06-15,42995
1993-07-15,42978
1993-08-15,41706
1993-09-15,40274
1993-10-15,40287
1993-11-15,38982
1993-12-15,39004
1994-01-15,36499
1994-02-15,39207
1994-03-15,48794
1994-04-15,47592
1994-05-15,47065
1994-06-15,49302
1994-07-15,45730
1994-08-15,48327
1994-09-15,46351
1994-10-15,46178
1994-11-15,43612
1994-12-15,42484
1995-01-15,40555
1995-02-15,41459
1995-03-15,51531
1995-04-15,47869
1995-05-15,52775
1995-06-15,54922
1995-07-15,49968
1995-08-15,53479
1995-09-15,48827
1995-10-15,48488
1995-11-15,46040
1995-12-15,43802
1996-01-15,44859
1996-02-15,49575
1996-03-15,55636
1996-04-15,54096
1996-05-15,58150
1996-06-15,54914
1996-07-15,55071
1996-08-15,55481
1996-09-15,51121
1996-10-15,54229
1996-11-15,48137
1996-12-15,46238
1997-01-15,48395
1997-02-15,50126
1997-03-15,57665
1997-04-15,56305
1997-05-15,57939
1997-06-15,57464
1997-07-15,58472
1997-08-15,58070
1997-09-15,54860
1997-10-15,55571
1997-11-15,48573
1997-12-15,50377
1998-01-15,49721
1998-02-15,50744
1998-03-15,59831
1998-04-15,60028
1998-05-15,62210
1998-06-15,64854
1998-07-15,59770
1998-08-15,57742
1998-09-15,56630
1998-10-15,59483
1998-11-15,52556
1998-12-15,54846
1999-01-15,52535
1999-02-15,57052
1999-03-15,67732
1999-04-15,64869
1999-05-15,67822
1999-06-15,69366
1999-07-15,68335
1999-08-15,69464
1999-09-15,64572
1999-10-15,62383
1999-11-15,59856
1999-12-15,60218
2000-01-15,58773
2000-02-15,66892
2000-03-15,75067
2000-04-15,65986
2000-05-15,73050
2000-06-15,73002
2000-07-15,67260
2000-08-15,71850
2000-09-15,65835
2000-10-15,63805
2000-11-15,58449
2000-12-15,56241
2001-01-15,59261
2001-02-15,61518
2001-03-15,71400
2001-04-15,67278
2001-05-15,74342
2001-06-15,72739
2001-07-15,69045
2001-08-15,73327
2001-09-15,60942
2001-10-15,79534
2001-11-15,65196
2001-12-15,60997
2002-01-15,60565
2002-02-15,62937
2002-03-15,69771
2002-04-15,70792
2002-05-15,72154
2002-06-15,71067
2002-07-15,76408
2002-08-15,79583
2002-09-15,65150
2002-10-15,66329
2002-11-15,60589
2002-12-15,63466
2003-01-15,62134
2003-02-15,61021
2003-03-15,71864
2003-04-15,72396
2003-05-15,76730
2003-06-15,74622
2003-07-15,78478
2003-08-15,77662
2003-09-15,70122
2003-10-15,68133
2003-11-15,61677
2003-12-15,66749
2004-01-15,61146
2004-02-15,65230
2004-03-15,78662
2004-04-15,73252
2004-05-15,77491
2004-06-15,75355
2004-07-15,78837
2004-08-15,76377
2004-09-15,73580
2004-10-15,68745
2004-11-15,65221
2004-12-15,72476
2005-01-15,61936
2005-02-15,66945
2005-03-15,80609
2005-04-15,77669
2005-05-15,78327
2005-06-15,85378
2005-07-15,87710
2005-08-15,81220
2005-09-15,69412
2005-10-15,63594
2005-11-15,64845
2005-12-15,70662
2006-01-15,65737
2006-02-15,67452
2006-03-15,82754
2006-04-15,76180
2006-05-15,81517
2006-06-15,80599
2006-07-15,80889
2006-08-15,82997
2006-09-15,73000
2006-10-15,70365
2006-11-15,67512
2006-12-15,70995
2007-01-15,66585
2007-02-15,69373
2007-03-15,83833
2007-04-15,77265
2007-05-15,85183
2007-06-15,79824
2007-07-15,79097
2007-08-15,84633
2007-09-15,73470
2007-10-15,74461
2007-11-15,67344
2007-12-15,69071
2008-01-15,65842
2008-02-15,69073
2008-03-15,76685
2008-04-15,73837
2008-05-15,76268
2008-06-15,69543
2008-07-15,69800
2008-08-15,69812
2008-09-15,60618
2008-10-15,55151
2008-11-15,47965
2008-12-15,52485
2009-01-15,50234
2009-02-15,50142
2009-03-15,57327
2009-04-15,56128
2009-05-15,57966
2009-06-15,59754
2009-07-15,62543
2009-08-15,66463
2009-09-15,52323
2009-10-15,55026
2009-11-15,50158
2009-12-15,55938
2010-01-15,49975
2010-02-15,51988
2010-03-15,67683
2010-04-15,64609
2010-05-15,65484
2010-06-15,64921
2010-07-15,67289
2010-08-15,66343
2010-09-15,61956
2010-10-15,61712
2010-11-15,59187
2010-12-15,64973
2011-01-15,58406
2011-02-15,63255
2011-03-15,76046
2011-04-15,70352
2011-05-15,70085
2011-06-15,70954
2011-07-15,69900
2011-08-15,71940
2011-09-15,67434
2011-10-15,66283
2011-11-15,64184
2011-12-15,71090
2012-01-15,62182
2012-02-15,70375
2012-03-15,81129
2012-04-15,73313
2012-05-15,79512
2012-06-15,75587
2012-07-15,74800
2012-08-15,80204
2012-09-15,70863
2012-10-15,71857
2012-11-15,69299
2012-12-15,73830
2013-01-15,69037
2013-02-15,72880
2013-03-15,83307
2013-04-15,81037
2013-05-15,86431
2013-06-15,82623
2013-07-15,86067
2013-08-15,88856
2013-09-15,75778
2013-10-15,79262
2013-11-15,76041
2013-12-15,78448
